Name,Title,Voice_Line,Release_Date,Primary_Role,Secondary_Role,Lane,Hp,Hp_Regen,Mana
Aamon,Duke of Shards,"It is better to be feared than loved, if you cannot both.",2021-10-25,Assassin,,Jungler,2614,8,455
Akai,Panda Warrior,Now Akai enters the scene!,2016,Tank,Support,Roamer,2769,8.4,422
Aldous,Soul Contractor,Primary Role,2018,Fighter,,EXP Lane,2718,9.8,405
Alice,Queen of Blood,Watch your back!,2016,Mage,Tank,EXP Lane,2573,7.2,493
Alpha,Blade of Enmity,Test! Alpha is online.,2017,Fighter,,EXP Lane,2646,7.8,453
Alucard,Demon Hunter,Demons shall bathe in their blood. The light belongs to the righteous.,2016,Fighter,Assassin,Jungler,2621,7.8,0
Angela,Bunnylove,Primary Role,2018-02-06,Support,,Roamer,2421,6.8,515
Argus,Dark Angel,Primary Role,2017,Fighter,,EXP Lane,2628,8,0
Atlas,Ocean Gladiator,The ocean is not just our home. It is who we are.,2020-03-20,Tank,Support,Roamer,2819,8.4,440
Aurora,Frost Oracle,Listen to the sound of snowing.,09-05-2017,Mage,,Mid,2501,6.8,750
Aulus,Warrior of Ferocity,Old Aulus still has a few tricks to show!,2021-08-31,Fighter,,EXP Lane,2758,10.2,410
Badang,Tribal Warrior,Primary Role,2019-01-15,Fighter,,EXP Lane,2708,8,0
Balmond,Bloody Beast,Primary Role,2016,Fighter,,EXP Lane,2736,9.4,0
Bane,Frozen King,Target locked,2016,Fighter,Mage,Jungler,2559,8.4,433
Barats,Dino Rider,I might not be a learned man but I do know my trades.,2020-09-18,Tank,Fighter,EXP Lane,2559,8.8,430
Baxia,Mystic Tortoise,Rocks need no protection from the rain.,2019-10-08,Tank,,Jungler,2769,8.4,422
Beatrix,Dawnbreak Soldier,"Time and tide wait for no man, not girl.",2021-03-19,Marksman,,Gold Lane,2550,7.2,0
Belerick,Guard of Nature,Primary Role,2018-12-17,Tank,,Roamer,2569,8.4,450
Benedetta,Shadow Ranger,"When the body suffers, the spirit blooms.",2020-11-07,Assassin,,EXP Lane,2569,6.6,460
Brody,The Lone Star,Pain is the proof the I'm still alive.,2020-10-16,Marksman,,Gold Lane,2490,7.2,435
